roi_u,roi_v,mean_attention,support_count
67,74,0.0929865725338459,2
23,79,0.09288693219423294,2
19,86,0.09038760513067245,2
18,65,0.0897870659828186,2
19,65,0.08973651379346848,2
10,105,0.08796847239136696,2
35,82,0.08790317550301552,2
97,100,0.08787253871560097,2
26,109,0.08766157925128937,2
10,52,0.08750002086162567,2
82,104,0.08748551458120346,2
48,95,0.08735537901520729,2
13,35,0.08720321208238602,2
10,24,0.08685046806931496,2
54,73,0.08644795790314674,2
